case,event,startTime,completeTime,simulated:logProbability,concept:simulated
0,Register Claim,2021-11-02 13:08:42.554,2021-11-02 13:08:42.554,-5.2574953720277815,True
0,Decide High,2021-11-02 14:08:42.554,2021-11-02 14:08:42.554,-5.2574953720277815,True
0,Insurance Check,2021-11-02 15:08:42.554,2021-11-02 15:08:42.554,-5.2574953720277815,True
0,Medical Check,2021-11-02 16:08:42.554,2021-11-02 16:08:42.554,-5.2574953720277815,True
0,Contact Hospital,2021-11-02 17:08:42.554,2021-11-02 17:08:42.554,-5.2574953720277815,True
0,Prepare Not,2021-11-02 18:08:42.554,2021-11-02 18:08:42.554,-5.2574953720277815,True
0,Post,2021-11-02 19:08:42.554,2021-11-02 19:08:42.554,-5.2574953720277815,True
0,Prepare Questionaire,2021-11-02 20:08:42.554,2021-11-02 20:08:42.554,-5.2574953720277815,True
0,Send Questionaire,2021-11-02 21:08:42.554,2021-11-02 21:08:42.554,-5.2574953720277815,True
0,Receive Response,2021-11-02 22:08:42.554,2021-11-02 22:08:42.554,-5.2574953720277815,True
0,Archive,2021-11-02 23:08:42.554,2021-11-02 23:08:42.554,-5.2574953720277815,True
1,Register Claim,2021-11-02 13:32:06.188,2021-11-02 13:32:06.188,-7.860185057472166,True
1,Decide Low,2021-11-02 14:32:06.188,2021-11-02 14:32:06.188,-7.860185057472166,True
1,Prepare Questionaire,2021-11-02 15:32:06.188,2021-11-02 15:32:06.188,-7.860185057472166,True
1,Low Ins check,2021-11-02 16:32:06.188,2021-11-02 16:32:06.188,-7.860185057472166,True
1,Low Med Check,2021-11-02 17:32:06.188,2021-11-02 17:32:06.188,-7.860185057472166,True
1,Low Claim Join,2021-11-02 18:32:06.188,2021-11-02 18:32:06.188,-7.860185057472166,True
1,Prepare Not,2021-11-02 19:32:06.188,2021-11-02 19:32:06.188,-7.860185057472166,True
1,Send Questionaire,2021-11-02 20:32:06.188,2021-11-02 20:32:06.188,-7.860185057472166,True
1,Phone,2021-11-02 21:32:06.188,2021-11-02 21:32:06.188,-7.860185057472166,True
1,Receive Response,2021-11-02 22:32:06.188,2021-11-02 22:32:06.188,-7.860185057472166,True
1,Archive,2021-11-02 23:32:06.188,2021-11-02 23:32:06.188,-7.860185057472166,True
2,Register Claim,2021-11-02 15:41:18.676,2021-11-02 15:41:18.676,-5.0875963352323845,True
2,Decide Low,2021-11-02 16:41:18.676,2021-11-02 16:41:18.676,-5.0875963352323845,True
2,Prepare Questionaire,2021-11-02 17:41:18.676,2021-11-02 17:41:18.676,-5.0875963352323845,True
2,Send Questionaire,2021-11-02 18:41:18.676,2021-11-02 18:41:18.676,-5.0875963352323845,True
2,Low Med Check,2021-11-02 19:41:18.676,2021-11-02 19:41:18.676,-5.0875963352323845,True
2,Low Ins check,2021-11-02 20:41:18.676,2021-11-02 20:41:18.676,-5.0875963352323845,True
2,Low Claim Join,2021-11-02 21:41:18.676,2021-11-02 21:41:18.676,-5.0875963352323845,True
2,Prepare Not,2021-11-02 22:41:18.676,2021-11-02 22:41:18.676,-5.0875963352323845,True
2,Phone,2021-11-02 23:41:18.676,2021-11-02 23:41:18.676,-5.0875963352323845,True
2,Receive Response,2021-11-03 00:41:18.676,2021-11-03 00:41:18.676,-5.0875963352323845,True
2,Archive,2021-11-03 01:41:18.676,2021-11-03 01:41:18.676,-5.0875963352323845,True
3,Register Claim,2021-11-02 17:50:49.662,2021-11-02 17:50:49.662,-4.969813299576001,True
3,Decide High,2021-11-02 18:50:49.662,2021-11-02 18:50:49.662,-4.969813299576001,True
3,Insurance Check,2021-11-02 19:50:49.662,2021-11-02 19:50:49.662,-4.969813299576001,True
3,Medical Check,2021-11-02 20:50:49.662,2021-11-02 20:50:49.662,-4.969813299576001,True
3,Prepare Questionaire,2021-11-02 21:50:49.662,2021-11-02 21:50:49.662,-4.969813299576001,True
3,Send Questionaire,2021-11-02 22:50:49.662,2021-11-02 22:50:49.662,-4.969813299576001,True
3,Contact Hospital,2021-11-02 23:50:49.662,2021-11-02 23:50:49.662,-4.969813299576001,True
3,Prepare Not,2021-11-03 00:50:49.662,2021-11-03 00:50:49.662,-4.969813299576001,True
3,Post,2021-11-03 01:50:49.662,2021-11-03 01:50:49.662,-4.969813299576001,True
3,Receive Response,2021-11-03 02:50:49.662,2021-11-03 02:50:49.662,-4.969813299576001,True
3,Archive,2021-11-03 03:50:49.662,2021-11-03 03:50:49.662,-4.969813299576001,True
4,Register Claim,2021-11-02 18:44:17.571,2021-11-02 18:44:17.571,-3.58351893845611,True
4,Decide High,2021-11-02 19:44:17.571,2021-11-02 19:44:17.571,-3.58351893845611,True
4,Prepare Questionaire,2021-11-02 20:44:17.571,2021-11-02 20:44:17.571,-3.58351893845611,True
4,Send Questionaire,2021-11-02 21:44:17.571,2021-11-02 21:44:17.571,-3.58351893845611,True
4,Insurance Check,2021-11-02 22:44:17.571,2021-11-02 22:44:17.571,-3.58351893845611,True
4,Medical Check,2021-11-02 23:44:17.571,2021-11-02 23:44:17.571,-3.58351893845611,True
4,Contact Hospital,2021-11-03 00:44:17.571,2021-11-03 00:44:17.571,-3.58351893845611,True
4,Prepare Not,2021-11-03 01:44:17.571,2021-11-03 01:44:17.571,-3.58351893845611,True
4,Post,2021-11-03 02:44:17.571,2021-11-03 02:44:17.571,-3.58351893845611,True
4,Receive Response,2021-11-03 03:44:17.571,2021-11-03 03:44:17.571,-3.58351893845611,True
4,Archive,2021-11-03 04:44:17.571,2021-11-03 04:44:17.571,-3.58351893845611,True
5,Register Claim,2021-11-02 19:51:58.860,2021-11-02 19:51:58.860,-5.662960480135946,True
5,Decide High,2021-11-02 20:51:58.860,2021-11-02 20:51:58.860,-5.662960480135946,True
