Finished cases,Num in process cases,Number of rejected cases,Finished cases,Arrival rate,Process active time,Number of unique resources,Number of experts resources,Service time per case
0,0,0,0,35.7368,0,6,0,13.2494
0,35.7368,0,0,33.9099,428.059,6,0,11.9781
11.9781,57.6686,0,11.9781,38.59,775.585,6,0,13.449
25.4271,82.8096,25.141,25.4271,38.0987,950.898,6,0,11.4829
36.9101,109.425,51.7568,36.9101,35.8652,1144.48,6,0,10.459
47.3691,134.832,77.163,47.3691,36.6731,1357.16,6,0,10.0656
57.4347,161.439,103.771,57.4347,31.7729,1645.53,6,0,10.1929
67.6276,183.019,125.351,67.6276,31.3499,2054.38,6,0,11.2249
78.8525,203.144,145.475,78.8525,44.1634,2612.23,6,0,12.859
91.7115,234.448,176.78,91.7115,30.7907,2935.79,6,0,12.5221
104.234,252.717,195.049,104.234,31.7618,3507.33,6,0,13.8785
118.112,270.6,212.932,118.112,42.9856,3238.67,6,0,11.9684
130.081,301.618,243.949,130.081,44.8791,3600.31,6,0,11.9367
142.017,334.56,276.892,142.017,38.3897,3438.64,6,0,10.2781
152.295,362.672,305.003,152.295,36.7772,3656.49,6,0,10.0821
162.377,389.367,331.698,162.377,40.501,5480.41,6,0,14.0752
176.453,415.793,358.124,176.453,43.3078,5300.62,6,0,12.7482
189.201,446.352,388.684,189.201,36.5407,5425.01,6,0,12.1541
201.355,470.739,413.07,201.355,40.5284,4970.37,6,0,10.5587
211.914,500.708,443.04,211.914,42.7363,6073.04,6,0,12.1289
224.042,531.316,473.647,224.042,40.2474,7162.25,6,0,13.4802
237.523,558.083,500.414,237.523,38.082,6143.14,6,0,11.0076
248.53,585.157,527.489,248.53,44.2386,6817.59,6,0,11.6509
260.181,617.745,560.077,260.181,41.3357,7237.11,6,0,11.7154
271.896,647.366,589.697,271.896,30.9038,7096.07,6,0,10.9615
282.858,667.308,609.639,282.858,39.366,8480.81,6,0,12.709
295.567,693.965,636.296,295.567,37.4666,8563.55,6,0,12.34
307.907,719.091,661.423,307.907,34.5649,8223.07,6,0,11.4354
319.342,742.221,684.552,319.342,37.0581,7967.99,6,0,10.7353
330.078,768.544,710.875,330.078,38.5903,8782.32,6,0,11.4272
341.505,795.707,738.038,341.505,36.9411,10340.9,6,0,12.9959
354.501,819.652,761.984,354.501,43.5543,9572.03,6,0,11.6782
366.179,851.528,793.86,366.179,39.8983,11648.4,6,0,13.6794
379.858,877.747,820.079,379.858,42.423,10628.1,6,0,12.1084
391.967,908.062,850.393,391.967,51.9179,11276.6,6,0,12.4183
404.385,947.561,889.893,404.385,44.6856,10734.8,6,0,11.3288
415.714,980.918,923.25,415.714,48.0195,10779.2,6,0,10.9889
426.703,1017.95,960.28,426.703,49.5429,13510.2,6,0,13.272
439.975,1054.22,996.551,439.975,43.8126,12014.5,6,0,11.3965
451.371,1086.64,1028.97,451.371,52.7637,14944.3,6,0,13.7528
465.124,1125.65,1067.98,465.124,50.2392,11628.1,6,0,10.3302
475.454,1165.56,1107.89,475.454,55.7709,15529.8,6,0,13.3239
488.778,1208,1150.33,488.778,55.8824,13332.1,6,0,11.0364
499.815,1252.85,1195.18,499.815,43.4067,17704.1,6,0,14.1311
513.946,1282.12,1224.46,513.946,51.1659,15209.9,6,0,11.8631
525.809,1321.43,1263.76,525.809,51.5668,15113.5,6,0,11.4373
537.246,1361.56,1303.89,537.246,54.4693,14670.1,6,0,10.7745
