act_AcceptCarReq_avg_arrival,act_AcceptCarReq_avg_duration,act_AcceptCarReq_whole_duration,act_AcceptCarReq_avgwaiting_time,act_AcceptCarReq_wholewaiting_time,act_AcceptCarReq_waiting_events,act_AcceptCarReq_finished_events,act_AcceptCarReq_idle_time,act_AcceptCarReq_inprocess_events,act_AcceptCarReq_unique_resources,act_AcceptCarReq_engaged_resources
78,0.0,0.0,0.0,0.0,0,78,0.10333333333333333,0,1,78
77,0.0,0.0,0.0,0.0,0,77,0.11694444444444445,0,1,77
80,0.0,0.0,0.0,0.0,0,80,0.1125,0,1,80
53,0.0,0.0,0.0,0.0,0,53,0.17166666666666666,0,1,53
51,0.0,0.0,0.0,0.0,0,51,0.1938888888888889,0,1,51
78,0.0,0.0,0.0,0.0,0,78,0.11527777777777778,0,1,78
56,0.0,0.0,0.0,0.0,0,56,0.16361111111111112,0,1,56
62,0.0,0.0,0.0,0.0,0,62,0.1475,0,1,62
58,0.0,0.0,0.0,0.0,0,58,0.13805555555555554,0,1,58
61,0.0,0.0,0.0,0.0,0,61,0.15,0,1,61
56,0.0,0.0,0.0,0.0,0,56,0.14472222222222222,0,1,56
64,0.0,0.0,0.0,0.0,0,64,0.14277777777777778,0,1,64
61,0.0,0.0,0.0,0.0,0,61,0.13333333333333333,0,1,61
58,0.0,0.0,0.0,0.0,0,58,0.15694444444444444,0,1,58
64,0.0,0.0,0.0,0.0,0,64,0.14277777777777778,0,1,64
66,0.0,0.0,0.0,0.0,0,66,0.12305555555555556,0,1,66
56,0.0,0.0,0.0,0.0,0,56,0.14527777777777778,0,1,56
69,0.0,0.0,0.0,0.0,0,69,0.1322222222222222,0,1,69
63,0.0,0.0,0.0,0.0,0,63,0.10972222222222222,0,1,63
61,0.0,0.0,0.0,0.0,0,61,0.15,0,1,61
58,0.0,0.0,0.0,0.0,0,58,0.15777777777777777,0,1,58
51,0.0,0.0,0.0,0.0,0,51,0.17833333333333334,0,1,51
55,0.0,0.0,0.0,0.0,0,55,0.1625,0,1,55
59,0.0,0.0,0.0,0.0,0,59,0.155,0,1,59
60,0.0,0.0,0.0,0.0,0,60,0.15166666666666667,0,1,60
57,0.0,0.0,0.0,0.0,0,57,0.16055555555555556,0,1,57
60,0.0,0.0,0.0,0.0,0,60,0.1511111111111111,0,1,60
61,0.0,0.0,0.0,0.0,0,61,0.14916666666666667,0,1,61
62,0.0,0.0,0.0,0.0,0,62,0.1475,0,1,62
62,0.0,0.0,0.0,0.0,0,62,0.1475,0,1,62
67,0.0,0.0,0.0,0.0,0,67,0.12027777777777778,0,1,67
58,0.0,0.0,0.0,0.0,0,58,0.14027777777777778,0,1,58
63,0.0,0.0,0.0,0.0,0,63,0.145,0,1,63
60,0.0,0.0,0.0,0.0,0,60,0.1511111111111111,0,1,60
58,0.0,0.0,0.0,0.0,0,58,0.14027777777777778,0,1,58
55,0.0,0.0,0.0,0.0,0,55,0.16555555555555557,0,1,55
67,0.0,0.0,0.0,0.0,0,67,0.1361111111111111,0,1,67
55,0.0,0.0,0.0,0.0,0,55,0.16666666666666666,0,1,55
60,0.0,0.0,0.0,0.0,0,60,0.1525,0,1,60
53,0.0,0.0,0.0,0.0,0,53,0.12833333333333333,0,1,53
65,0.0,0.0,0.0,0.0,0,65,0.10666666666666667,0,1,65
65,0.0,0.0,0.0,0.0,0,65,0.10833333333333334,0,1,65
58,0.0,0.0,0.0,0.0,0,58,0.15777777777777777,0,1,58
62,0.0,0.0,0.0,0.0,0,62,0.13111111111111112,0,1,62
65,0.0,0.0,0.0,0.0,0,65,0.13972222222222222,0,1,65
50,0.0,0.0,0.0,0.0,0,50,0.16083333333333333,0,1,50
