act_DoneDriverReq_avg_arrival,act_DoneDriverReq_avg_duration,act_DoneDriverReq_whole_duration,act_DoneDriverReq_avgwaiting_time,act_DoneDriverReq_wholewaiting_time,act_DoneDriverReq_waiting_events,act_DoneDriverReq_finished_events,act_DoneDriverReq_idle_time,act_DoneDriverReq_inprocess_events,act_DoneDriverReq_unique_resources,act_DoneDriverReq_engaged_resources
63,0.0,0.0,0.0,0.0,0,63,0.16555555555555557,0,1,63
47,0.0,0.0,0.0,0.0,0,47,0.2125,0,1,47
59,0.0,0.0,0.0,0.0,0,59,0.17833333333333334,0,1,59
47,0.0,0.0,0.0,0.0,0,47,0.21583333333333332,0,1,47
39,0.0,0.0,0.0,0.0,0,39,0.2761111111111111,0,1,39
49,0.0,0.0,0.0,0.0,0,49,0.1922222222222222,0,1,49
41,0.0,0.0,0.0,0.0,0,41,0.21444444444444444,0,1,41
35,0.0,0.0,0.0,0.0,0,35,0.22833333333333333,0,1,35
40,0.0,0.0,0.0,0.0,0,40,0.24694444444444444,0,1,40
38,0.0,0.0,0.0,0.0,0,38,0.19583333333333333,0,1,38
44,0.0,0.0,0.0,0.0,0,44,0.22361111111111112,0,1,44
37,0.0,0.0,0.0,0.0,0,37,0.23194444444444445,0,1,37
38,0.0,0.0,0.0,0.0,0,38,0.25972222222222224,0,1,38
41,0.0,0.0,0.0,0.0,0,41,0.21694444444444444,0,1,41
32,0.0,0.0,0.0,0.0,0,32,0.2638888888888889,0,1,32
28,0.0,0.0,0.0,0.0,0,28,0.34805555555555556,0,1,28
41,0.0,0.0,0.0,0.0,0,41,0.23333333333333334,0,1,41
28,0.0,0.0,0.0,0.0,0,28,0.31027777777777776,0,1,28
35,0.0,0.0,0.0,0.0,0,35,0.2752777777777778,0,1,35
40,0.0,0.0,0.0,0.0,0,40,0.1852777777777778,0,1,40
39,0.0,0.0,0.0,0.0,0,39,0.19805555555555557,0,1,39
46,0.0,0.0,0.0,0.0,0,46,0.1925,0,1,46
46,0.0,0.0,0.0,0.0,0,46,0.1988888888888889,0,1,46
39,0.0,0.0,0.0,0.0,0,39,0.22361111111111112,0,1,39
39,0.0,0.0,0.0,0.0,0,39,0.19055555555555556,0,1,39
37,0.0,0.0,0.0,0.0,0,37,0.21,0,1,37
37,0.0,0.0,0.0,0.0,0,37,0.24666666666666667,0,1,37
40,0.0,0.0,0.0,0.0,0,40,0.22333333333333333,0,1,40
38,0.0,0.0,0.0,0.0,0,38,0.24305555555555555,0,1,38
38,0.0,0.0,0.0,0.0,0,38,0.21666666666666667,0,1,38
28,0.0,0.0,0.0,0.0,0,28,0.34555555555555556,0,1,28
40,0.0,0.0,0.0,0.0,0,40,0.24722222222222223,0,1,40
36,0.0,0.0,0.0,0.0,0,36,0.20944444444444443,0,1,36
36,0.0,0.0,0.0,0.0,0,36,0.21138888888888888,0,1,36
40,0.0,0.0,0.0,0.0,0,40,0.2375,0,1,40
43,0.0,0.0,0.0,0.0,0,43,0.18083333333333335,0,1,43
35,0.0,0.0,0.0,0.0,0,35,0.25972222222222224,0,1,35
42,0.0,0.0,0.0,0.0,0,42,0.1897222222222222,0,1,42
38,0.0,0.0,0.0,0.0,0,38,0.22972222222222222,0,1,38
47,0.0,0.0,0.0,0.0,0,47,0.21666666666666667,0,1,47
33,0.0,0.0,0.0,0.0,0,33,0.2833333333333333,0,1,33
35,0.0,0.0,0.0,0.0,0,35,0.27444444444444444,0,1,35
39,0.0,0.0,0.0,0.0,0,39,0.22305555555555556,0,1,39
36,0.0,0.0,0.0,0.0,0,36,0.26944444444444443,0,1,36
32,0.0,0.0,0.0,0.0,0,32,0.23222222222222222,0,1,32
46,0.0,0.0,0.0,0.0,0,46,0.22583333333333333,0,1,46
47,0.0,0.0,0.0,0.0,0,47,0.21555555555555556,0,1,47
46,0.0,0.0,0.0,0.0,0,46,0.22,0,1,46
48,0.0,0.0,0.0,0.0,0,48,0.16333333333333333,0,1,48
40,0.0,0.0,0.0,0.0,0,40,0.24944444444444444,0,1,40
53,0.0,0.0,0.0,0.0,0,53,0.18805555555555556,0,1,53
31,0.0,0.0,0.0,0.0,0,31,0.3,0,1,31
33,0.0,0.0,0.0,0.0,0,33,0.32083333333333336,0,1,33
54,0.0,0.0,0.0,0.0,0,54,0.17527777777777778,0,1,54
35,0.0,0.0,0.0,0.0,0,35,0.2477777777777778,0,1,35
36,0.0,0.0,0.0,0.0,0,36,0.265,0,1,36
42,0.0,0.0,0.0,0.0,0,42,0.17833333333333334,0,1,42
38,0.0,0.0,0.0,0.0,0,38,0.1988888888888889,0,1,38
