act_ProcessNextCarReq_avg_arrival,act_ProcessNextCarReq_avg_duration,act_ProcessNextCarReq_whole_duration,act_ProcessNextCarReq_avgwaiting_time,act_ProcessNextCarReq_wholewaiting_time,act_ProcessNextCarReq_waiting_events,act_ProcessNextCarReq_finished_events,act_ProcessNextCarReq_idle_time,act_ProcessNextCarReq_inprocess_events,act_ProcessNextCarReq_unique_resources,act_ProcessNextCarReq_engaged_resources
78,0.3277777777777778,1.5833333333333333,0.8072649572649573,62.96666666666667,72,78,23.786944444444444,0,1,78
77,0.3372222222222222,1.9833333333333334,0.7448051948051948,57.35,67,77,23.788055555555555,0,1,77
80,0.33416666666666667,2.75,0.6804166666666667,54.43333333333334,74,80,23.781666666666666,0,1,80
53,0.3625,19.216666666666665,0.5257861635220126,27.866666666666667,41,53,23.81111111111111,0,1,53
51,0.3597222222222222,18.35,0.49052287581699344,25.016666666666666,41,51,23.849444444444444,0,1,51
78,0.34444444444444444,2.8833333333333333,0.6222222222222222,48.53333333333333,69,78,23.780277777777776,0,1,78
56,0.34305555555555556,19.216666666666665,0.6607142857142857,37.0,49,56,23.83361111111111,0,1,56
62,0.3413888888888889,21.166666666666668,0.6774193548387096,42.0,53,62,23.82611111111111,0,1,62
58,0.3386111111111111,19.65,0.7620689655172415,44.2,50,58,23.8125,0,1,58
61,0.3497222222222222,21.333333333333332,0.6114754098360656,37.300000000000004,51,61,23.813055555555554,0,1,61
56,0.3461111111111111,19.383333333333333,0.6116071428571429,34.25,48,56,23.810833333333335,0,1,56
64,0.3386111111111111,21.683333333333334,0.7497395833333333,47.983333333333334,55,64,23.816111111111113,0,1,64
61,0.3363888888888889,20.533333333333335,0.8740437158469947,53.31666666666668,53,61,23.808333333333334,0,1,61
58,0.34,19.733333333333334,0.714367816091954,41.43333333333333,51,58,23.82638888888889,0,1,58
64,0.33694444444444444,21.566666666666666,0.7963541666666666,50.96666666666666,55,64,23.82111111111111,0,1,64
66,0.33694444444444444,22.25,0.9565656565656564,63.133333333333326,58,66,23.798055555555557,0,1,66
56,0.355,19.883333333333333,0.5324404761904763,29.81666666666667,48,56,23.804166666666667,0,1,56
69,0.3313888888888889,22.866666666666667,0.9439613526570048,65.13333333333333,61,69,23.81111111111111,0,1,69
63,0.33361111111111114,21.033333333333335,0.7952380952380952,50.099999999999994,56,63,23.79277777777778,0,1,63
61,0.3463888888888889,21.133333333333333,0.6292349726775958,38.38333333333334,51,61,23.819166666666668,0,1,61
58,0.3438888888888889,19.95,0.7086206896551726,41.10000000000001,48,58,23.823888888888888,0,1,58
51,0.365,18.616666666666667,0.44183006535947716,22.533333333333335,40,51,23.825277777777778,0,1,51
55,0.3416666666666667,18.8,0.733939393939394,40.36666666666667,47,55,23.831666666666667,0,1,55
59,0.3413888888888889,20.15,0.6836158192090396,40.333333333333336,51,59,23.825555555555557,0,1,59
60,0.3438888888888889,20.633333333333333,0.6855555555555555,41.133333333333326,51,60,23.820833333333333,0,1,60
57,0.34444444444444444,19.633333333333333,0.6997076023391812,39.883333333333326,48,57,23.82777777777778,0,1,57
60,0.33611111111111114,20.166666666666668,0.8702777777777778,52.21666666666667,52,60,23.823611111111113,0,1,60
61,0.3402777777777778,20.766666666666666,0.8265027322404371,50.416666666666664,52,61,23.817222222222224,0,1,61
62,0.335,20.783333333333335,0.931989247311828,57.78333333333333,54,62,23.81861111111111,0,1,62
62,0.3352777777777778,20.8,0.8026881720430107,49.766666666666666,54,62,23.829444444444444,0,1,62
67,0.3333333333333333,22.333333333333332,0.9114427860696517,61.06666666666666,58,67,23.802777777777777,0,1,67
58,0.34305555555555556,19.9,0.6841954022988506,39.68333333333333,50,58,23.807222222222222,0,1,58
63,0.3427777777777778,21.6,0.6849206349206349,43.15,54,63,23.814166666666665,0,1,63
60,0.3486111111111111,20.916666666666668,0.6086111111111111,36.516666666666666,50,60,23.815277777777776,0,1,60
58,0.33944444444444444,19.7,0.7387931034482759,42.85,50,58,23.815555555555555,0,1,58
55,0.35333333333333333,19.433333333333334,0.5324242424242425,29.283333333333335,46,55,23.825833333333332,0,1,55
67,0.33416666666666667,22.4,1.0119402985074624,67.79999999999998,59,67,23.809444444444445,0,1,67
55,0.3461111111111111,19.05,0.6851515151515154,37.683333333333344,46,55,23.83,0,1,55
60,0.3408333333333333,20.45,0.6808333333333333,40.849999999999994,52,60,23.823888888888888,0,1,60
53,0.3411111111111111,18.083333333333332,0.6723270440251572,35.63333333333333,47,53,23.8,0,1,53
65,0.32722222222222225,21.283333333333335,0.9610256410256409,62.46666666666666,59,65,23.795,0,1,65
65,0.33111111111111113,21.533333333333335,0.8725641025641026,56.71666666666667,59,65,23.790277777777778,0,1,65
58,0.35388888888888886,20.533333333333335,0.5390804597701149,31.266666666666666,48,58,23.815277777777776,0,1,58
62,0.33611111111111114,20.85,0.7795698924731184,48.333333333333336,55,62,23.807222222222222,0,1,62
65,0.3397222222222222,22.083333333333332,0.8828205128205128,57.38333333333333,55,65,23.81222222222222,0,1,65
50,0.3502777777777778,17.516666666666666,0.5539999999999999,27.7,42,50,23.81888888888889,0,1,50
51,0.3522222222222222,17.966666666666665,0.5774509803921569,29.450000000000003,44,51,23.817777777777778,0,1,51
51,0.35638888888888887,18.183333333333334,0.5316993464052288,27.116666666666667,43,51,23.81361111111111,0,1,51
57,0.3591666666666667,20.483333333333334,0.5052631578947367,28.799999999999997,45,57,23.814444444444444,0,1,57
61,0.3425,20.9,0.7306010928961749,44.56666666666667,52,61,23.801111111111112,0,1,61
78,0.33666666666666667,2.2666666666666666,0.7102564102564103,55.4,72,78,23.78611111111111,0,1,78
44,0.35694444444444445,15.716666666666667,0.571590909090909,25.15,35,44,23.829722222222223,0,1,44
55,0.3586111111111111,19.733333333333334,0.5303030303030303,29.166666666666668,44,55,23.840555555555557,0,1,55
