act_ProcessNextdriverReq_avg_arrival,act_ProcessNextdriverReq_avg_duration,act_ProcessNextdriverReq_whole_duration,act_ProcessNextdriverReq_avgwaiting_time,act_ProcessNextdriverReq_wholewaiting_time,act_ProcessNextdriverReq_waiting_events,act_ProcessNextdriverReq_finished_events,act_ProcessNextdriverReq_idle_time,act_ProcessNextdriverReq_inprocess_events,act_ProcessNextdriverReq_unique_resources,act_ProcessNextdriverReq_engaged_resources
63,0.3277777777777778,20.65,0.9420634920634922,59.35000000000001,55,63,23.83972222222222,0,1,63
47,0.35138888888888886,16.516666666666666,0.4063829787234043,19.1,36,47,23.863611111111112,0,1,47
59,0.3347222222222222,19.75,0.7240112994350283,42.71666666666667,50,59,23.845555555555556,0,1,59
47,0.3552777777777778,16.7,0.5475177304964538,25.73333333333333,33,47,23.8625,0,1,47
39,0.3675,14.333333333333334,0.41367521367521365,16.133333333333333,22,39,23.910833333333333,0,1,39
49,0.35555555555555557,17.433333333333334,0.48775510204081635,23.900000000000002,35,49,23.838333333333335,0,1,49
41,0.35805555555555557,14.683333333333334,0.4760162601626016,19.516666666666666,29,41,23.859166666666667,0,1,41
35,0.34555555555555556,12.1,0.6257142857142857,21.9,28,35,23.886111111111113,0,1,35
40,0.3575,14.3,0.42625,17.05,28,40,23.891666666666666,0,1,40
38,0.3397222222222222,12.916666666666666,0.7267543859649124,27.61666666666667,30,38,23.858888888888888,0,1,38
44,0.3461111111111111,15.233333333333333,0.6253787878787878,27.516666666666662,34,44,23.879722222222224,0,1,44
37,0.3566666666666667,13.2,0.4315315315315315,15.966666666666667,26,37,23.878055555555555,0,1,37
38,0.36833333333333335,14.0,0.305701754385965,11.616666666666669,24,38,23.89361111111111,0,1,38
41,0.3566666666666667,14.633333333333333,0.476829268292683,19.550000000000004,29,41,23.86277777777778,0,1,41
32,0.365,11.683333333333334,0.3536458333333333,11.316666666666666,21,32,23.901944444444446,0,1,32
28,0.3875,10.85,0.15654761904761902,4.383333333333333,15,28,23.962777777777777,0,1,28
41,0.3475,14.25,0.6634146341463415,27.2,31,41,23.888333333333332,0,1,41
28,0.3875,10.85,0.17797619047619048,4.983333333333333,13,28,23.925833333333333,0,1,28
35,0.36944444444444446,12.933333333333334,0.3352380952380953,11.733333333333334,22,35,23.908333333333335,0,1,35
40,0.3377777777777778,13.516666666666667,0.7883333333333334,31.53333333333334,32,40,23.850277777777777,0,1,40
39,0.3461111111111111,13.5,0.5235042735042734,20.416666666666664,31,39,23.855,0,1,39
46,0.3388888888888889,15.6,0.8797101449275364,40.466666666666676,35,46,23.855833333333333,0,1,46
46,0.34944444444444445,16.083333333333332,0.5018115942028984,23.08333333333333,36,46,23.851666666666667,0,1,46
39,0.3502777777777778,13.666666666666666,0.5568376068376069,21.71666666666667,29,39,23.875833333333333,0,1,39
39,0.3488888888888889,13.616666666666667,0.520940170940171,20.31666666666667,30,39,23.844166666666666,0,1,39
