,Case ID,Activity,type,Start Timestamp,Complete Timestamp,Resource,Event Duration
0,1,NextCall,CarRequest,2018-01-01 10:01:00,2018-01-01 10:01:00,System,0 days 00:00:00.000000000
1,1,AcceptCarReq,CarRequest,2018-01-01 10:01:00,2018-01-01 10:01:00,System,0 days 00:00:00.000000000
2,1,ProcessNextCarReq,CarRequest,2018-01-01 10:01:00,2018-01-01 10:29:00,Monika,0 days 00:28:00.000000000
3,2,NextCall,DriverRequest,2018-01-01 10:03:00,2018-01-01 10:03:00,System,0 days 00:00:00.000000000
4,2,AcceptDriverReq,DriverRequest,2018-01-01 10:03:00,2018-01-01 10:30:00,System,0 days 00:27:00.000000000
5,2,ProcessNextdriverReq,DriverRequest,2018-01-01 10:03:00,2018-01-01 10:30:00,Pheobi,0 days 00:27:00.000000000
6,3,NextCall,CarRequest,2018-01-01 10:04:00,2018-01-01 10:04:00,System,0 days 00:00:00.000000000
7,3,AcceptCarReq,CarRequest,2018-01-01 10:04:00,2018-01-01 10:04:00,System,0 days 00:00:00.000000000
8,3,ProcessNextCarReq,CarRequest,2018-01-01 10:04:00,2018-01-01 10:31:00,Chandler,0 days 00:27:00.000000000
9,4,NextCall,DriverRequest,2018-01-01 10:05:00,2018-01-01 10:05:00,System,0 days 00:00:00.000000000
10,4,AcceptDriverReq,DriverRequest,2018-01-01 10:05:00,2018-01-01 10:33:00,System,0 days 00:28:00.000000000
11,4,ProcessNextdriverReq,DriverRequest,2018-01-01 10:05:00,2018-01-01 10:33:00,Joe,0 days 00:28:00.000000000
12,5,NextCall,DriverRequest,2018-01-01 10:07:00,2018-01-01 10:07:00,System,0 days 00:00:00.000000000
13,5,AcceptDriverReq,DriverRequest,2018-01-01 10:07:00,2018-01-01 10:34:00,System,0 days 00:27:00.000000000
14,6,NextCall,CarRequest,2018-01-01 10:08:00,2018-01-01 10:08:00,System,0 days 00:00:00.000000000
15,6,AcceptCarReq,CarRequest,2018-01-01 10:08:00,2018-01-01 10:08:00,System,0 days 00:00:00.000000000
16,6,ProcessNextCarReq,CarRequest,2018-01-01 10:08:00,2018-01-01 10:35:00,Ross,0 days 00:27:00.000000000
17,7,NextCall,DriverRequest,2018-01-01 10:09:00,2018-01-01 10:09:00,System,0 days 00:00:00.000000000
18,7,AcceptDriverReq,DriverRequest,2018-01-01 10:09:00,2018-01-01 10:33:00,System,0 days 00:24:00.000000000
19,8,NextCall,CarRequest,2018-01-01 10:11:00,2018-01-01 10:11:00,System,0 days 00:00:00.000000000
20,8,AcceptCarReq,CarRequest,2018-01-01 10:11:00,2018-01-01 10:11:00,System,0 days 00:00:00.000000000
21,9,NextCall,CarRequest,2018-01-01 10:12:00,2018-01-01 10:12:00,System,0 days 00:00:00.000000000
22,9,AcceptCarReq,CarRequest,2018-01-01 10:12:00,2018-01-01 10:12:00,System,0 days 00:00:00.000000000
23,10,NextCall,CarRequest,2018-01-01 10:13:00,2018-01-01 10:13:00,System,0 days 00:00:00.000000000
24,10,AcceptCarReq,CarRequest,2018-01-01 10:13:00,2018-01-01 10:13:00,System,0 days 00:00:00.000000000
25,11,NextCall,DriverRequest,2018-01-01 10:15:00,2018-01-01 10:15:00,System,0 days 00:00:00.000000000
26,11,AcceptDriverReq,DriverRequest,2018-01-01 10:15:00,2018-01-01 10:36:00,System,0 days 00:21:00.000000000
27,12,NextCall,CarRequest,2018-01-01 10:16:00,2018-01-01 10:16:00,System,0 days 00:00:00.000000000
28,12,AcceptCarReq,CarRequest,2018-01-01 10:16:00,2018-01-01 10:16:00,System,0 days 00:00:00.000000000
29,13,NextCall,DriverRequest,2018-01-01 10:17:00,2018-01-01 10:17:00,System,0 days 00:00:00.000000000
30,13,AcceptDriverReq,DriverRequest,2018-01-01 10:17:00,2018-01-01 10:38:00,System,0 days 00:21:00.000000000
31,14,NextCall,CarRequest,2018-01-01 10:19:00,2018-01-01 10:19:00,System,0 days 00:00:00.000000000
32,14,AcceptCarReq,CarRequest,2018-01-01 10:19:00,2018-01-01 10:19:00,System,0 days 00:00:00.000000000
33,15,NextCall,CarRequest,2018-01-01 10:20:00,2018-01-01 10:20:00,System,0 days 00:00:00.000000000
34,15,AcceptCarReq,CarRequest,2018-01-01 10:20:00,2018-01-01 10:20:00,System,0 days 00:00:00.000000000
35,16,NextCall,CarRequest,2018-01-01 10:21:00,2018-01-01 10:21:00,System,0 days 00:00:00.000000000
36,16,AcceptCarReq,CarRequest,2018-01-01 10:21:00,2018-01-01 10:21:00,System,0 days 00:00:00.000000000
37,17,NextCall,CarRequest,2018-01-01 10:23:00,2018-01-01 10:23:00,System,0 days 00:00:00.000000000
38,17,AcceptCarReq,CarRequest,2018-01-01 10:23:00,2018-01-01 10:23:00,System,0 days 00:00:00.000000000
39,18,NextCall,CarRequest,2018-01-01 10:24:00,2018-01-01 10:24:00,System,0 days 00:00:00.000000000
40,18,AcceptCarReq,CarRequest,2018-01-01 10:24:00,2018-01-01 10:24:00,System,0 days 00:00:00.000000000
41,19,NextCall,CarRequest,2018-01-01 10:25:00,2018-01-01 10:25:00,System,0 days 00:00:00.000000000
42,19,AcceptCarReq,CarRequest,2018-01-01 10:25:00,2018-01-01 10:25:00,System,0 days 00:00:00.000000000
43,20,NextCall,CarRequest,2018-01-01 10:27:00,2018-01-01 10:27:00,System,0 days 00:00:00.000000000
44,20,AcceptCarReq,CarRequest,2018-01-01 10:27:00,2018-01-01 10:27:00,System,0 days 00:00:00.000000000
45,21,NextCall,CarRequest,2018-01-01 10:28:00,2018-01-01 10:28:00,System,0 days 00:00:00.000000000
46,21,AcceptCarReq,CarRequest,2018-01-01 10:28:00,2018-01-01 10:28:00,System,0 days 00:00:00.000000000
47,1,DoneCarReq,CarRequest,2018-01-01 10:29:00,2018-01-01 10:29:00,System,0 days 00:00:00.000000000
48,8,ProcessNextCarReq,CarRequest,2018-01-01 10:29:00,2018-01-01 10:47:00,Monika,0 days 00:18:00.000000000
49,22,NextCall,DriverRequest,2018-01-01 10:29:00,2018-01-01 10:29:00,System,0 days 00:00:00.000000000
50,22,AcceptDriverReq,DriverRequest,2018-01-01 10:29:00,2018-01-01 10:49:00,System,0 days 00:20:00.000000000
51,5,ProcessNextdriverReq,DriverRequest,2018-01-01 10:30:00,2018-01-01 10:50:00,Pheobi,0 days 00:20:00.000000000
52,2,DoneDriverReq,DriverRequest,2018-01-01 10:30:00,2018-01-01 10:30:00,System,0 days 00:00:00.000000000
53,23,NextCall,DriverRequest,2018-01-01 10:31:00,2018-01-01 10:31:00,System,0 days 00:00:00.000000000
54,23,AcceptDriverReq,DriverRequest,2018-01-01 10:31:00,2018-01-01 10:50:00,System,0 days 00:19:00.000000000
55,9,ProcessNextCarReq,CarRequest,2018-01-01 10:31:00,2018-01-01 10:49:00,Chandler,0 days 00:18:00.000000000
56,3,DoneCarReq,CarRequest,2018-01-01 10:31:00,2018-01-01 10:31:00,System,0 days 00:00:00.000000000
57,24,NextCall,DriverRequest,2018-01-01 10:32:00,2018-01-01 10:32:00,System,0 days 00:00:00.000000000
58,24,AcceptDriverReq,DriverRequest,2018-01-01 10:32:00,2018-01-01 10:51:00,System,0 days 00:19:00.000000000
59,4,DoneDriverReq,DriverRequest,2018-01-01 10:33:00,2018-01-01 10:33:00,System,0 days 00:00:00.000000000
60,7,ProcessNextdriverReq,DriverRequest,2018-01-01 10:33:00,2018-01-01 10:52:00,Joe,0 days 00:19:00.000000000
61,25,NextCall,DriverRequest,2018-01-01 10:33:00,2018-01-01 10:33:00,System,0 days 00:00:00.000000000
62,25,AcceptDriverReq,DriverRequest,2018-01-01 10:33:00,2018-01-01 10:53:00,System,0 days 00:20:00.000000000
63,26,NextCall,CarRequest,2018-01-01 10:35:00,2018-01-01 10:35:00,System,0 days 00:00:00.000000000
64,26,AcceptCarReq,CarRequest,2018-01-01 10:35:00,2018-01-01 10:35:00,System,0 days 00:00:00.000000000
65,10,ProcessNextCarReq,CarRequest,2018-01-01 10:35:00,2018-01-01 10:53:00,Ross,0 days 00:18:00.000000000
66,6,DoneCarReq,CarRequest,2018-01-01 10:35:00,2018-01-01 10:35:00,System,0 days 00:00:00.000000000
67,27,NextCall,DriverRequest,2018-01-01 10:36:00,2018-01-01 10:36:00,System,0 days 00:00:00.000000000
68,27,AcceptDriverReq,DriverRequest,2018-01-01 10:36:00,2018-01-01 10:55:00,System,0 days 00:19:00.000000000
69,28,NextCall,CarRequest,2018-01-01 10:37:00,2018-01-01 10:37:00,System,0 days 00:00:00.000000000
70,28,AcceptCarReq,CarRequest,2018-01-01 10:37:00,2018-01-01 10:37:00,System,0 days 00:00:00.000000000
