<<<<<<< HEAD
Case ID,Activity,type,Start Timestamp,Complete Timestamp,Resource
1,NextCall,CarRequest,1/1/2018 10:01,1/1/2018 10:01,System
1,AcceptCarReq,CarRequest,1/1/2018 10:01,1/1/2018 10:01,System
1,ProcessNextCarReq,CarRequest,1/1/2018 10:01,1/1/2018 10:29,Monika
2,NextCall,DriverRequest,1/1/2018 10:03,1/1/2018 10:03,System
2,AcceptDriverReq,DriverRequest,1/1/2018 10:03,1/1/2018 10:30,System
2,ProcessNextdriverReq,DriverRequest,1/1/2018 10:03,1/1/2018 10:30,Pheobi
3,NextCall,CarRequest,1/1/2018 10:04,1/1/2018 10:04,System
3,AcceptCarReq,CarRequest,1/1/2018 10:04,1/1/2018 10:04,System
3,ProcessNextCarReq,CarRequest,1/1/2018 10:04,1/1/2018 10:31,Chandler
4,NextCall,DriverRequest,1/1/2018 10:05,1/1/2018 10:05,System
4,AcceptDriverReq,DriverRequest,1/1/2018 10:05,1/1/2018 10:33,System
4,ProcessNextdriverReq,DriverRequest,1/1/2018 10:05,1/1/2018 10:33,Joe
5,NextCall,DriverRequest,1/1/2018 10:07,1/1/2018 10:07,System
5,AcceptDriverReq,DriverRequest,1/1/2018 10:07,1/1/2018 10:34,System
6,NextCall,CarRequest,1/1/2018 10:08,1/1/2018 10:08,System
6,AcceptCarReq,CarRequest,1/1/2018 10:08,1/1/2018 10:08,System
6,ProcessNextCarReq,CarRequest,1/1/2018 10:08,1/1/2018 10:35,Ross
7,NextCall,DriverRequest,1/1/2018 10:09,1/1/2018 10:09,System
7,AcceptDriverReq,DriverRequest,1/1/2018 10:09,1/1/2018 10:33,System
8,NextCall,CarRequest,1/1/2018 10:11,1/1/2018 10:11,System
8,AcceptCarReq,CarRequest,1/1/2018 10:11,1/1/2018 10:11,System
9,NextCall,CarRequest,1/1/2018 10:12,1/1/2018 10:12,System
9,AcceptCarReq,CarRequest,1/1/2018 10:12,1/1/2018 10:12,System
10,NextCall,CarRequest,1/1/2018 10:13,1/1/2018 10:13,System
10,AcceptCarReq,CarRequest,1/1/2018 10:13,1/1/2018 10:13,System
11,NextCall,DriverRequest,1/1/2018 10:15,1/1/2018 10:15,System
11,AcceptDriverReq,DriverRequest,1/1/2018 10:15,1/1/2018 10:36,System
12,NextCall,CarRequest,1/1/2018 10:16,1/1/2018 10:16,System
12,AcceptCarReq,CarRequest,1/1/2018 10:16,1/1/2018 10:16,System
13,NextCall,DriverRequest,1/1/2018 10:17,1/1/2018 10:17,System
13,AcceptDriverReq,DriverRequest,1/1/2018 10:17,1/1/2018 10:38,System
14,NextCall,CarRequest,1/1/2018 10:19,1/1/2018 10:19,System
14,AcceptCarReq,CarRequest,1/1/2018 10:19,1/1/2018 10:19,System
15,NextCall,CarRequest,1/1/2018 10:20,1/1/2018 10:20,System
15,AcceptCarReq,CarRequest,1/1/2018 10:20,1/1/2018 10:20,System
16,NextCall,CarRequest,1/1/2018 10:21,1/1/2018 10:21,System
16,AcceptCarReq,CarRequest,1/1/2018 10:21,1/1/2018 10:21,System
17,NextCall,CarRequest,1/1/2018 10:23,1/1/2018 10:23,System
17,AcceptCarReq,CarRequest,1/1/2018 10:23,1/1/2018 10:23,System
18,NextCall,CarRequest,1/1/2018 10:24,1/1/2018 10:24,System
18,AcceptCarReq,CarRequest,1/1/2018 10:24,1/1/2018 10:24,System
19,NextCall,CarRequest,1/1/2018 10:25,1/1/2018 10:25,System
19,AcceptCarReq,CarRequest,1/1/2018 10:25,1/1/2018 10:25,System
20,NextCall,CarRequest,1/1/2018 10:27,1/1/2018 10:27,System
20,AcceptCarReq,CarRequest,1/1/2018 10:27,1/1/2018 10:27,System
21,NextCall,CarRequest,1/1/2018 10:28,1/1/2018 10:28,System
21,AcceptCarReq,CarRequest,1/1/2018 10:28,1/1/2018 10:28,System
1,DoneCarReq,CarRequest,1/1/2018 10:29,1/1/2018 10:29,System
8,ProcessNextCarReq,CarRequest,1/1/2018 10:29,1/1/2018 10:47,Monika
22,NextCall,DriverRequest,1/1/2018 10:29,1/1/2018 10:29,System
22,AcceptDriverReq,DriverRequest,1/1/2018 10:29,1/1/2018 10:49,System
5,ProcessNextdriverReq,DriverRequest,1/1/2018 10:30,1/1/2018 10:50,Pheobi
2,DoneDriverReq,DriverRequest,1/1/2018 10:30,1/1/2018 10:30,System
23,NextCall,DriverRequest,1/1/2018 10:31,1/1/2018 10:31,System
23,AcceptDriverReq,DriverRequest,1/1/2018 10:31,1/1/2018 10:50,System
9,ProcessNextCarReq,CarRequest,1/1/2018 10:31,1/1/2018 10:49,Chandler
3,DoneCarReq,CarRequest,1/1/2018 10:31,1/1/2018 10:31,System
24,NextCall,DriverRequest,1/1/2018 10:32,1/1/2018 10:32,System
24,AcceptDriverReq,DriverRequest,1/1/2018 10:32,1/1/2018 10:51,System
4,DoneDriverReq,DriverRequest,1/1/2018 10:33,1/1/2018 10:33,System
7,ProcessNextdriverReq,DriverRequest,1/1/2018 10:33,1/1/2018 10:52,Joe
25,NextCall,DriverRequest,1/1/2018 10:33,1/1/2018 10:33,System
25,AcceptDriverReq,DriverRequest,1/1/2018 10:33,1/1/2018 10:53,System
26,NextCall,CarRequest,1/1/2018 10:35,1/1/2018 10:35,System
26,AcceptCarReq,CarRequest,1/1/2018 10:35,1/1/2018 10:35,System
10,ProcessNextCarReq,CarRequest,1/1/2018 10:35,1/1/2018 10:53,Ross
6,DoneCarReq,CarRequest,1/1/2018 10:35,1/1/2018 10:35,System
27,NextCall,DriverRequest,1/1/2018 10:36,1/1/2018 10:36,System
27,AcceptDriverReq,DriverRequest,1/1/2018 10:36,1/1/2018 10:55,System
28,NextCall,CarRequest,1/1/2018 10:37,1/1/2018 10:37,System
28,AcceptCarReq,CarRequest,1/1/2018 10:37,1/1/2018 10:37,System
29,NextCall,DriverRequest,1/1/2018 10:39,1/1/2018 10:39,System
29,AcceptDriverReq,DriverRequest,1/1/2018 10:39,1/1/2018 10:57,System
30,NextCall,CarRequest,1/1/2018 10:40,1/1/2018 10:40,System
30,AcceptCarReq,CarRequest,1/1/2018 10:40,1/1/2018 10:40,System
31,NextCall,DriverRequest,1/1/2018 10:41,1/1/2018 10:41,System
31,AcceptDriverReq,DriverRequest,1/1/2018 10:41,1/1/2018 11:00,System
32,NextCall,CarRequest,1/1/2018 10:43,1/1/2018 10:43,System
32,RejectCall,CarRequest,1/1/2018 10:43,1/1/2018 10:43,System
33,NextCall,DriverRequest,1/1/2018 10:44,1/1/2018 10:44,System
33,AcceptDriverReq,DriverRequest,1/1/2018 10:44,1/1/2018 11:02,System
34,NextCall,DriverRequest,1/1/2018 10:45,1/1/2018 10:45,System
34,AcceptDriverReq,DriverRequest,1/1/2018 10:45,1/1/2018 11:04,System
8,DoneCarReq,CarRequest,1/1/2018 10:47,1/1/2018 10:47,System
12,ProcessNextCarReq,CarRequest,1/1/2018 10:47,1/1/2018 11:05,Monika
35,NextCall,DriverRequest,1/1/2018 10:47,1/1/2018 10:47,System
35,RejectCall,DriverRequest,1/1/2018 10:47,1/1/2018 10:47,System
36,NextCall,CarRequest,1/1/2018 10:48,1/1/2018 10:48,System
36,RejectCall,CarRequest,1/1/2018 10:48,1/1/2018 10:48,System
37,NextCall,DriverRequest,1/1/2018 10:49,1/1/2018 10:49,System
37,AcceptDriverReq,DriverRequest,1/1/2018 10:49,1/1/2018 11:07,System
9,DoneCarReq,CarRequest,1/1/2018 10:49,1/1/2018 10:49,System
14,ProcessNextCarReq,CarRequest,1/1/2018 10:49,1/1/2018 11:08,Chandler
11,ProcessNextdriverReq,DriverRequest,1/1/2018 10:50,1/1/2018 11:08,Pheobi
5,DoneDriverReq,DriverRequest,1/1/2018 10:50,1/1/2018 10:50,System
38,NextCall,CarRequest,1/1/2018 10:51,1/1/2018 10:51,System
38,RejectCall,CarRequest,1/1/2018 10:51,1/1/2018 10:51,System
